"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:32:46 GMT 2023","Sat Jan 28 15:32:49 GMT 2023","3033","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:32:44 GMT 2023","Sat Jan 28 15:32:44 GMT 2023","416","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:32:39 GMT 2023","Sat Jan 28 15:32:43 GMT 2023","4352","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"failed","Sat Jan 28 15:32:55 GMT 2023","Sat Jan 28 15:33:01 GMT 2023","5515","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:32:43 GMT 2023","Sat Jan 28 15:32:44 GMT 2023","528","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:32:54 GMT 2023","Sat Jan 28 15:32:55 GMT 2023","1647","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"skipped","Sat Jan 28 15:33:03 GMT 2023","Sat Jan 28 15:33:03 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String)",""
"passed","Sat Jan 28 15:33:02 GMT 2023","Sat Jan 28 15:33:03 GMT 2023","24","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:32:43 GMT 2023","Sat Jan 28 15:32:43 GMT 2023","356","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:32:52 GMT 2023","Sat Jan 28 15:32:54 GMT 2023","2006","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:33:01 GMT 2023","Sat Jan 28 15:33:02 GMT 2023","1603","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:32:49 GMT 2023","Sat Jan 28 15:32:52 GMT 2023","2579","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:32:34 GMT 2023","Sat Jan 28 15:32:38 GMT 2023","4190","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:32:26 GMT 2023","Sat Jan 28 15:32:34 GMT 2023","8600","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:32:43 GMT 2023","Sat Jan 28 15:32:43 GMT 2023","155","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:32:44 GMT 2023","Sat Jan 28 15:32:46 GMT 2023","1605","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"skipped","Sat Jan 28 15:33:03 GMT 2023","Sat Jan 28 15:33:03 GMT 2023","1","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String)",""
